"VALUE","HEX","ASCII",,"VALUE","HEX","ASCII"
"0","30","0",,"8","38","8"
"1","31","1",,"9","39","9"
"2","32","2",,"A","3A",":"
"3","33","3",,"B","3B",";"
"4","34","4",,"C","3C","<"
"5","35","5",,"D","3D","="
"6","36","6",,"E","3E",">"
"7","37","7",,"F","3F","?"
